Province,District,Year,Household_Size,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_per_capita,StatsSA_Households_Cellphone,StatsSA_Households_LandCell (%),StatsSA_Households_MobileInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt (%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
GP,Tshwane MM: TSH,2022,2.9,Urban,7720026,6518062,74,40.9064,1469.511,91.5,6,71.5,11.5,19.3,80,0.24
GP,Tshwane MM: TSH,2023,2.9,Urban,7900436,6647620,74,39.35,1383.721,91.7,5.9,73.1,11.3,21.3,81.9,0.24
GP,Tshwane MM: TSH,2024,2.9,Urban,4038360,3898876,74,38.0526,1327.169,90.1,7.9,75.7,10,18.9,86,0.24
GP,West Rand DM: DC48,2022,3,Rural,1939090,2164116,50,40.9064,1469.511,91.5,6,71.5,11.5,19.3,80,0.91
GP,West Rand DM: DC48,2023,3,Rural,1965505,2193696,50,39.35,1383.721,91.7,5.9,73.1,11.3,21.3,81.9,0.91
GP,West Rand DM: DC48,2024,3,Rural,996636,1519046,50,38.0526,1327.169,90.1,7.9,75.7,10,18.9,86,0.91
KZ,Amajuba DM: DC25,2022,4.1,Rural,1144016,1771725,26,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,8.99
KZ,Amajuba DM: DC25,2023,4.1,Rural,1155746,1824620,26,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,8.99
KZ,Amajuba DM: DC25,2024,4.1,Rural,583415,986524,26,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,8.99
KZ,Harry Gwala DM: DC43,2022,4.5,Rural,1020226,1867130,40,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,0.24
KZ,Harry Gwala DM: DC43,2023,4.5,Rural,1027556,1919145,40,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,0.24
KZ,Harry Gwala DM: DC43,2024,4.5,Rural,517618,1064642,40,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,0.24
KZ,King Cetshwayo DM: DC28,2022,4.6,Rural,1939485,3045874,64,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,2.3
KZ,King Cetshwayo DM: DC28,2023,4.6,Rural,1950009,3127239,64,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,2.3
KZ,King Cetshwayo DM: DC28,2024,4.6,Rural,980188,2348577,64,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,2.3
KZ,Ugu DM: DC21,2022,4,Rural,1654768,2674035,54,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,0.91
KZ,Ugu DM: DC21,2023,4,Rural,1677289,2759703,54,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,0.91
KZ,Ugu DM: DC21,2024,4,Rural,850311,1680434,54,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,0.91
KZ,Zululand DM: DC26,2022,4.9,Rural,1734475,2963772,75,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,2.3
KZ,Zululand DM: DC26,2023,4.9,Rural,1744257,3043356,75,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,2.3
KZ,Zululand DM: DC26,2024,4.9,Rural,877196,2214480,75,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,2.3
KZ,eThekwini MM: ETH,2022,3.6,Urban,8036700,10813444,120,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,0.24
KZ,eThekwini MM: ETH,2023,3.6,Urban,8145854,11204359,121,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,0.24
KZ,eThekwini MM: ETH,2024,3.6,Urban,4125608,7110620,121,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,0.24
KZ,iLembe DM: DC29,2022,4.3,Rural,1377921,2189776,36,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,2.3
KZ,iLembe DM: DC29,2023,4.3,Rural,1393180,2256320,36,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,2.3
KZ,iLembe DM: DC29,2024,4.3,Rural,703372,1484533,36,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,2.3
KZ,uMgungundlovu DM: DC22,2022,3.9,Rural,2300569,3250364,53,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,2.3
KZ,uMgungundlovu DM: DC22,2023,3.9,Rural,2326703,3349743,53,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,2.3
KZ,uMgungundlovu DM: DC22,2024,3.9,Rural,1177092,2277784,53,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,2.3
KZ,uMkhanyakude DM: DC27,2022,5.7,Rural,1361311,2408531,59,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,0.91
KZ,uMkhanyakude DM: DC27,2023,5.7,Rural,1371185,2475736,59,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,0.91
KZ,uMkhanyakude DM: DC27,2024,5.7,Rural,690192,2095291,60,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,0.91
KZ,uMzinyathi DM: DC24,2022,4.5,Rural,1138908,2083763,54,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,2.3
KZ,uMzinyathi DM: DC24,2023,4.5,Rural,1151519,2147085,54,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,2.3
KZ,uMzinyathi DM: DC24,2024,4.5,Rural,582409,1311020,54,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,2.3
KZ,uThukela DM: DC23,2022,4.3,Rural,1417988,2123122,37,35.2408,1886.864,86.3,9.2,74.6,6.8,11.6,75.9,8.99
KZ,uThukela DM: DC23,2023,4.3,Rural,1423032,2177250,37,33.8774,1713.592,90.4,6.5,78.5,7.8,16.9,80.6,8.99
KZ,uThukela DM: DC23,2024,4.3,Rural,714070,1466673,37,34.3405,1552.976,93.6,3.7,80,5.5,5.9,84.2,8.99
LP,Capricorn DM: DC35,2022,3.9,Rural,2707690,3765480,101,27.5688,1349.842,92.1,5,60.8,1.6,4.8,62.2,0.91
LP,Capricorn DM: DC35,2023,3.9,Rural,2715333,4009706,101,31.0936,1493.918,94.1,3.6,67.3,1.9,3.5,69.7,0.91
LP,Capricorn DM: DC35,2024,3.9,Rural,1361654,2514487,101,31.4878,1736.317,94.9,3,74.4,1.4,4.5,76.9,0.91
LP,Mopani DM: DC33,2022,4.1,Rural,2453877,3593259,105,27.5688,1349.842,92.1,5,60.8,1.6,4.8,62.2,0.91
LP,Mopani DM: DC33,2023,4.1,Rural,2468949,3834392,105,31.0936,1493.918,94.1,3.6,67.3,1.9,3.5,69.7,0.91
LP,Mopani DM: DC33,2024,4.1,Rural,1241931,2890030,104,31.4878,1736.317,94.9,3,74.4,1.4,4.5,76.9,0.91
LP,Sekhukhune DM: DC47,2022,4.4,Rural,2478700,3392438,89,27.5688,1349.842,92.1,5,60.8,1.6,4.8,62.2,0.91
LP,Sekhukhune DM: DC47,2023,4.4,Rural,2499574,3625324,89,31.0936,1493.918,94.1,3.6,67.3,1.9,3.5,69.7,0.91
LP,Sekhukhune DM: DC47,2024,4.4,Rural,1261291,2204776,89,31.4878,1736.317,94.9,3,74.4,1.4,4.5,76.9,0.91
LP,Vhembe DM: DC34,2022,4.6,Rural,2976322,4367256,123,27.5688,1349.842,92.1,5,60.8,1.6,4.8,62.2,0.91
LP,Vhembe DM: DC34,2023,4.6,Rural,3002503,4668170,123,31.0936,1493.918,94.1,3.6,67.3,1.9,3.5,69.7,0.91
LP,Vhembe DM: DC34,2024,4.6,Rural,1514770,3355584,123,31.4878,1736.317,94.9,3,74.4,1.4,4.5,76.9,0.91
LP,Waterberg DM: DC36,2022,3.7,Rural,1552343,2213054,64,27.5688,1349.842,92.1,5,60.8,1.6,4.8,62.2,4.52
LP,Waterberg DM: DC36,2023,3.7,Rural,1562529,2352773,63,31.0936,1493.918,94.1,3.6,67.3,1.9,3.5,69.7,4.52
LP,Waterberg DM: DC36,2024,3.7,Rural,786231,1497667,60,31.4878,1736.317,94.9,3,74.4,1.4,4.5,76.9,4.52
MP,Ehlanzeni DM: DC32,2022,3.9,Semi-Urban,3680566,5685148,128,26.9603,1631.978,93.5,3.8,76.2,5.5,5,78.2,0.24
MP,Ehlanzeni DM: DC32,2023,3.9,Semi-Urban,3707863,5805721,128,30.321,1543.03,95.1,2.5,76.9,4.4,5.7,78.5,0.24
MP,Ehlanzeni DM: DC32,2024,3.9,Semi-Urban,1866920,3974460,127,29.508,1487.058,94.6,3.7,77.9,3.3,6.6,80.2,0.24
MP,G Sibande DM: DC30,2022,3.6,Rural,2525225,2854816,76,26.9603,1631.978,93.5,3.8,76.2,5.5,5,78.2,2.3
MP,G Sibande DM: DC30,2023,3.6,Rural,2567438,2932505,76,30.321,1543.03,95.1,2.5,76.9,4.4,5.7,78.5,2.3
MP,G Sibande DM: DC30,2024,3.6,Rural,1304284,1892645,77,29.508,1487.058,94.6,3.7,77.9,3.3,6.6,80.2,2.3
MP,Nkangala DM: DC31,2022,3.4,Rural,3291296,3643841,92,26.9603,1631.978,93.5,3.8,76.2,5.5,5,78.2,0.91
MP,Nkangala DM: DC31,2023,3.4,Rural,3354817,3779147,94,30.321,1543.03,95.1,2.5,76.9,4.4,5.7,78.5,0.91
MP,Nkangala DM: DC31,2024,3.4,Rural,1708843,2300033,95,29.508,1487.058,94.6,3.7,77.9,3.3,6.6,80.2,0.91
NC,Frances Baard DM: DC9,2022,3.7,Rural,835541,1097168,30,32.3916,2062.643,85.2,4.1,66.1,9.4,10.9,68.5,0.24
NC,Frances Baard DM: DC9,2023,3.7,Rural,842363,1094187,31,26.913,1989.021,86.3,3.4,68,11.6,11.6,70.4,0.24
NC,Frances Baard DM: DC9,2024,3.7,Rural,424540,732751,31,25.9922,1566.025,90,3.1,65.3,10.5,9.1,70.3,0.24
NC,JT Gaetsewe DM: DC45,2022,4.5,Rural,549314,879639,43,32.3916,2062.643,85.2,4.1,66.1,9.4,10.9,68.5,0.91
NC,JT Gaetsewe DM: DC45,2023,4.5,Rural,558140,878114,43,26.913,1989.021,86.3,3.4,68,11.6,11.6,70.4,0.91
NC,JT Gaetsewe DM: DC45,2024,4.5,Rural,283463,535438,43,25.9922,1566.025,90,3.1,65.3,10.5,9.1,70.3,0.91
NC,Namakwa DM: DC6,2022,4.4,Rural,228155,485066,33,32.3916,2062.643,85.2,4.1,66.1,9.4,10.9,68.5,0.24
NC,Namakwa DM: DC6,2023,4.4,Rural,228487,477857,32,26.913,1989.021,86.3,3.4,68,11.6,11.6,70.4,0.24
NC,Namakwa DM: DC6,2024,4.4,Rural,114367,334415,32,25.9922,1566.025,90,3.1,65.3,10.5,9.1,70.3,0.24
NC,Pixley Ka Seme DM: DC7,2022,3.9,Semi-Urban,416333,901752,36,32.3916,2062.643,85.2,4.1,66.1,9.4,10.9,68.5,0.24
NC,Pixley Ka Seme DM: DC7,2023,3.9,Semi-Urban,419825,895842,36,26.913,1989.021,86.3,3.4,68,11.6,11.6,70.4,0.24
NC,Pixley Ka Seme DM: DC7,2024,3.9,Semi-Urban,211609,529963,36,25.9922,1566.025,90,3.1,65.3,10.5,9.1,70.3,0.24
NC,ZF Mgcawu DM: DC8,2022,4,Rural,564724,821053,20,32.3916,2062.643,85.2,4.1,66.1,9.4,10.9,68.5,0.24
NC,ZF Mgcawu DM: DC8,2023,4,Rural,572799,818720,20,26.913,1989.021,86.3,3.4,68,11.6,11.6,70.4,0.24
NC,ZF Mgcawu DM: DC8,2024,4,Rural,290296,550446,21,25.9922,1566.025,90,3.1,65.3,10.5,9.1,70.3,0.24
