Province,District,Year,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_pc,StatsSA_Households_Landline (%),StatsSA_Households_Cellphone (%),StatsSA_Households_LandCell (%),StatsSA_Household_None (%),StatsSA_Households_MobileInt (%),StatsSA_Households_FixInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt ()%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
WC,Cape Winelands DM: DC2,2024,Rural,991117,1587689,46,30.3827,1600.7881,0.1,90.7,5.1,4.2,79.5,44.9,12.9,21.7,92,0.91
WC,Central Karoo DM: DC5,2022,Rural,148691,,9,32.6317,1795.7458,0.3,80.4,14.7,4.6,68.5,34.7,13.1,19.8,84.6,2.3
WC,Central Karoo DM: DC5,2023,Rural,148880,,9,35.2175,1693.2257,0.1,88,6.9,5,70.8,40.1,14.9,22.3,88.1,2.3
WC,Central Karoo DM: DC5,2024,Rural,74630,190593,9,30.3827,1600.7881,0.1,90.7,5.1,4.2,79.5,44.9,12.9,21.7,92,2.3
WC,Garden Route DM: DC4,2022,Semi-Urban,1247030,,40,32.6317,1795.7458,0.3,80.4,14.7,4.6,68.5,34.7,13.1,19.8,84.6,2.3
WC,Garden Route DM: DC4,2023,Semi-Urban,1256423,,40,35.2175,1693.2257,0.1,88,6.9,5,70.8,40.1,14.9,22.3,88.1,2.3
WC,Garden Route DM: DC4,2024,Semi-Urban,633013,1311576,40,30.3827,1600.7881,0.1,90.7,5.1,4.2,79.5,44.9,12.9,21.7,92,2.3
WC,Overberg DM: DC3,2022,Rural,610404,,19,32.6317,1795.7458,0.3,80.4,14.7,4.6,68.5,34.7,13.1,19.8,84.6,2.3
WC,Overberg DM: DC3,2023,Rural,621324,,19,35.2175,1693.2257,0.1,88,6.9,5,70.8,40.1,14.9,22.3,88.1,2.3
WC,Overberg DM: DC3,2024,Rural,316173,731483,19,30.3827,1600.7881,0.1,90.7,5.1,4.2,79.5,44.9,12.9,21.7,92,2.3
WC,West Coast DM: DC1,2022,Rural,942102,,27,32.6317,1795.7458,0.3,80.4,14.7,4.6,68.5,34.7,13.1,19.8,84.6,2.3
WC,West Coast DM: DC1,2023,Rural,957943,,27,35.2175,1693.2257,0.1,88,6.9,5,70.8,40.1,14.9,22.3,88.1,2.3
WC,West Coast DM: DC1,2024,Rural,487115,805338,27,30.3827,1600.7881,0.1,90.7,5.1,4.2,79.5,44.9,12.9,21.7,92,2.3
